token_id,token_address,decimals
agnus-ai,0x550775e17ed6767621a1aed580e6eb29ede981e9,18
agora-dollar,0x00000000efe302beaa2b3e6e1b18d08d69a9012a,6
agorahub,0x87b46212e805a3998b7e8077e9019c90759ea88c,18
agoras-currency-of-tau,0x738865301a9b7dd80dc3666dd48cf034ec42bdda,8
agpc,0x19fdc290974b574065ff8db4303a0b76aecf223e,18
agrello,0x07e3c70653548b04f0a75970c1f81b4cbbfb606f,18
agrinode,0xedc1004886d010751f74ec0ad223819f9f3b1910,18
ai-analysis-token,0x0501b9188436e35bb10f35998c40adc079003866,18
ai-com,0x9d1a74967eca155782edf8e84782c74db33fc499,9
ai-doctor,0x584b44853680ee34a0f337b712a8f66d816df151,18
ai-network,0x3a810ff7211b40c4fa76205a14efe161615d0385,18
ai-pin,0xbc544207ff1c5b2bc47a35f745010b603b97e99e,18
ai-technology,0xd289ea09aeece390629e9414d41b4d9d9bf43fd9,18
ai-x,0x5f5166c4fdb9055efb24a7e75cc1a21ca8ca61a3,9
aibot,0xf1fb4cf949277adc3f89c0d6091100789033b7b5,18
aicb,0xa97cd1c5bcee878496fadb4edee081d05239051f,18
aichain,0x79650799e7899a802cb96c0bc33a6a8d4ce4936c,18
aidcoin,0x37e8789bb9996cac9156cd5f5fd32599e6b91289,18
aidi-inu,0xda1e53e088023fe4d1dc5a418581748f52cbd1b8,9
aidi-finance-2,0xe3e24b4ea87935e15bbe99a24e9ace9998e4614d,18
aifi-protocol,0x37ac5730cfb1549715647828a05b3a8ed781134b,18
aigentx,0x40e9187078032afe1a30cfcf76e4fe3d7ab5c6c5,18
ailink-token,0x4289c043a12392f1027307fb58272d8ebd853912,18
aimage-tools,0x4872208c83acbfd7f6dea5aa6ce6d5d7aed2ac1c,18
aimbot,0x0c48250eb1f29491f1efbeec0261eb556f0973c7,18
aimee,0x62cf53a8d024c785e6bd49b83d94a74e1f9c48b1,9
ainalysis,0xd155fa55c40d010335aa152891aa687e2f3090bd,9
aion-2,0x4667765333494049921709a1cec32dedc529d59e,18
aioz-network,0x626e8036deb333b408be468f951bdb42433cbf18,18
aipad,0xe55d97a97ae6a17706ee281486e98a84095d8aaf,18
aipro,0x913c9509b94d32ee38b0d98431c1ff109d24ff16,18
airbloc-protocol,0xf8b358b3397a8ea5464f8cc753645d42e14b79ea,18
airbot,0xcd14517c7397a003aec7404cb8159f16a90f9fe9,18
aircoins,0x8cb1d155a5a1d5d667611b7710920fd9d1cd727f,8
airealm-tech,0xf250b1f6193941bb8bff4152d719edf1a59c0e69,18
airian,0x294b9da569c0d694870239813bbe7b5824fd2339,18
airpuff,0x2be056e595110b30ddd5eaf674bdac54615307d9,18
airswap,0x27054b13b1b798b345b591a4d22e6562d47ea75a,4
airtor-protocol,0xfeac2eae96899709a43e252b6b92971d32f9c0f9,18
aisf,0x8d2fab1ff34f1c545673a816f1438b02d0a2e32d,18
aisignal,0x508b27902c6c14972a10a4e413b9cfa449e9cedb,0
aisociety,0x42a7797351dfd281a80807196c8508eb70bb2af9,18
ait-protocol,0x89d584a1edb3a70b3b07963f9a3ea5399e38b136,18
aitaxbot,0x9f04c2bd696a6191246144ba762456a24c457520,18
aitravis,0x2f4404c4012476929b6503e1397707480bf23b7f,9
aittcoin,0xeec2e29ff5cd4cecea61de09e9f28fae74c70ddd,8
aiwork,0x68c85b9f78f30a0df5ac5723e4e700037f185415,18
ajna-protocol,0x9a96ec9b57fb64fbc60b423d1f4da7691bd35079,18
akita-inu,0x3301ee63fb29f863f2333bd4466acb46cd8323e6,18
akita-inu-4,0x9c2c6ac75c8a0b93fd8372fa262eca25784e27bb,9
akitsuki,0x9efdfc77017cb9b878300ecdca21fab0529a22a0,9
akropolis,0x8ab7404063ec4dbcfd4598215992dc3f8ec853d7,18
